Variable_name	Before	After1	Calibration
Com_commit	0	0	0
Com_delete	0	0	0
Com_delete_multi	0	0	0
Com_insert	0	0	0
Com_insert_select	0	0	0
Com_replace	0	0	0
Com_replace_select	0	0	0
Com_select	0	1	1
Com_update	0	0	0
Com_update_multi	0	0	0
Created_tmp_disk_tables	0	0	0
Created_tmp_files	8	8	8
Created_tmp_tables	4	5	6
Handler_commit	0	0	0
Handler_delete	0	0	0
Handler_read_first	0	0	0
Handler_read_key	0	2	2
Handler_read_next	0	31000	31000
Handler_read_prev	0	0	0
Handler_read_rnd	0	0	0
Handler_read_rnd_next	671	898	1125
Handler_update	0	0	0
Handler_write	798	1024	1250
Innodb_buffer_pool_pages_flushed	315217	315217	315217
Innodb_buffer_pool_read_ahead_rnd	215	215	215
Innodb_buffer_pool_read_ahead_seq	3743	3743	3743
Innodb_buffer_pool_read_requests	64758555	64762524	64762524
Innodb_buffer_pool_reads	211357	211357	211357
Innodb_buffer_pool_wait_free	0	0	0
Innodb_buffer_pool_write_requests	29110485	29110485	29110485
Innodb_data_fsyncs	11008	11008	11008
Innodb_data_read	4735995904	4735995904	4735995904
Innodb_data_reads	230706	230706	230706
Innodb_data_writes	161553	161553	161553
Innodb_data_written	11008768512	11008768512	11008768512
Innodb_dblwr_pages_written	315217	315217	315217
Innodb_dblwr_writes	3403	3403	3403
Innodb_log_waits	77	77	77
Innodb_log_write_requests	1512713	1512713	1512713
Innodb_log_writes	4366	4366	4366
Innodb_os_log_fsyncs	4183	4183	4183
Innodb_os_log_written	679422976	679422976	679422976
Innodb_pages_created	26203	26203	26203
Innodb_pages_read	288929	288929	288929
Innodb_pages_written	315217	315217	315217
Innodb_row_lock_time	0	0	0
Innodb_row_lock_waits	0	0	0
Innodb_rows_deleted	0	0	0
Innodb_rows_inserted	4231182	4231182	4231182
Innodb_rows_read	5285959	5316960	5316960
Innodb_rows_updated	975029	975029	975029
Key_read_requests	487233	487233	487233
Key_reads	1332	1332	1332
Key_write_requests	166985	166985	166985
Key_writes	1713	1713	1713
Last_query_cost	10.499000	71039.632551	71039.632551
Qcache_hits	60	60	60
Qcache_inserts	130	130	130
Qcache_lowmem_prunes	0	0	0
Qcache_queries_in_cache	13	13	13
Questions	889	891	892
Select_full_join	0	0	0
Select_full_range_join	0	0	0
Select_range	0	1	1
Select_range_check	0	0	0
Select_scan	4	5	6
Sort_merge_passes	0	0	0
Sort_range	0	0	0
Sort_rows	0	0	0
Sort_scan	0	0	0
Table_locks_immediate	426	427	427
