Variable_name	Before	After1	Calibration
Com_commit	0	0	0
Com_delete	0	0	0
Com_delete_multi	0	0	0
Com_insert	0	0	0
Com_insert_select	0	0	0
Com_replace	0	0	0
Com_replace_select	0	0	0
Com_select	0	1	1
Com_update	0	0	0
Com_update_multi	0	0	0
Created_tmp_disk_tables	0	0	0
Created_tmp_files	5	5	5
Created_tmp_tables	4	6	7
Handler_commit	0	0	0
Handler_delete	0	0	0
Handler_read_first	0	0	0
Handler_read_key	0	1574	1574
Handler_read_next	0	49987	49987
Handler_read_prev	0	0	0
Handler_read_rnd	0	31	31
Handler_read_rnd_next	671	930	1157
Handler_update	0	1540	1540
Handler_write	798	1055	1281
Innodb_buffer_pool_pages_flushed	81945	81945	81945
Innodb_buffer_pool_read_ahead_rnd	93	96	96
Innodb_buffer_pool_read_ahead_seq	2520	2689	2689
Innodb_buffer_pool_read_requests	43483544	43688786	43688786
Innodb_buffer_pool_reads	24092	24178	24178
Innodb_buffer_pool_wait_free	0	0	0
Innodb_buffer_pool_write_requests	20115528	20115528	20115528
Innodb_data_fsyncs	4346	4346	4346
Innodb_data_read	1239715840	1285869568	1285869568
Innodb_data_reads	36339	36604	36604
Innodb_data_writes	38474	38474	38474
Innodb_data_written	3180067328	3180067328	3180067328
Innodb_dblwr_pages_written	81945	81945	81945
Innodb_dblwr_writes	995	995	995
Innodb_log_waits	77	77	77
Innodb_log_write_requests	1066865	1066865	1066865
Innodb_log_writes	2453	2453	2453
Innodb_os_log_fsyncs	2340	2340	2340
Innodb_os_log_written	494646784	494646784	494646784
Innodb_pages_created	19009	19009	19009
Innodb_pages_read	75533	78350	78350
Innodb_pages_written	81945	81945	81945
Innodb_row_lock_time	0	0	0
Innodb_row_lock_waits	0	0	0
Innodb_rows_deleted	0	0	0
Innodb_rows_inserted	3000000	3000000	3000000
Innodb_rows_read	3599849	3649836	3649836
Innodb_rows_updated	975029	975029	975029
Key_read_requests	487233	487233	487233
Key_reads	1332	1332	1332
Key_write_requests	166985	166985	166985
Key_writes	1713	1713	1713
Last_query_cost	10.499000	19767.599000	19767.599000
Qcache_hits	58	58	58
Qcache_inserts	128	128	128
Qcache_lowmem_prunes	0	0	0
Qcache_queries_in_cache	16	16	16
Questions	832	834	835
Select_full_join	0	0	0
Select_full_range_join	0	0	0
Select_range	0	0	0
Select_range_check	0	0	0
Select_scan	4	5	6
Sort_merge_passes	0	0	0
Sort_range	0	0	0
Sort_rows	0	31	31
Sort_scan	0	1	1
Table_locks_immediate	411	412	412
